name,class,shape,policy
model.vision_tower.vision_model.encoder.layers.0.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
