name,class,shape,policy
model.vision_tower.vision_model.encoder.layers.0.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.4.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.5.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.6.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.7.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.8.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.9.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.10.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.11.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.12.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.13.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.14.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.15.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.16.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.17.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.18.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.19.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.20.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.21.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.22.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.23.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.23.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.23.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.23.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.24.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.24.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.24.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.24.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.25.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.25.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.25.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.25.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.26.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.26.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.26.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.26.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.language_model.layers.0.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.0.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.0.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.0.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.0.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.1.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.1.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.1.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.1.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.1.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.2.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.2.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.2.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.2.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.2.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.3.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.3.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.3.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.3.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.3.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.4.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.4.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.4.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.4.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.4.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.5.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.5.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.5.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.5.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.5.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.6.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.6.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.6.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.6.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.6.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.7.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.7.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.7.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.7.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.7.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.8.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.8.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.8.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.8.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.8.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.9.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.9.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.9.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.9.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.9.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.10.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.10.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.10.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.10.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.10.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.11.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.11.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.11.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.11.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.11.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.12.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.12.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.12.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.12.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.12.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.13.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.13.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.13.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.13.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.13.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.14.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.14.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.14.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.14.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.14.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.15.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.15.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.15.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.15.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.15.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.16.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.16.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.16.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.16.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.16.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.17.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.17.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.17.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.17.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.17.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.18.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.18.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.18.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.18.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.18.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.19.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.19.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.19.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.19.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.19.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.20.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.20.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.20.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.20.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.20.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.21.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.21.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.21.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.21.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.21.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.22.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.22.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.22.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.22.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.22.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.23.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.23.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.23.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.23.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.23.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.24.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.24.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.24.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.24.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.24.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.25.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.25.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.25.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.25.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.25.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.26.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.26.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.26.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.26.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.26.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.27.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.27.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.27.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.27.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.27.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.28.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.28.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.28.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.28.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.28.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.29.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.29.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.29.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.29.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.29.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.30.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.30.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.30.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.30.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.30.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.31.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.31.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.31.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.31.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.31.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.32.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.32.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.32.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.32.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.32.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.33.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.33.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.33.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.33.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.33.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.34.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.34.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.34.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.34.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.34.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.35.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.35.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.35.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.35.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.35.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.36.mlp,Gemma3MLP,,mlp_q4_candidate
model.language_model.layers.36.mlp.gate_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.36.mlp.up_proj,Linear,15360x3840,mlp_q4_candidate
model.language_model.layers.36.mlp.down_proj,Linear,3840x15360,mlp_q4_candidate
model.language_model.layers.36.mlp.act_fn,GELUTanh,,mlp_q4_candidate
model.language_model.layers.37.mlp,Gemma3MLP,,mlp_q4_candidate
