name,class,shape,policy
,Gemma3ForConditionalGeneration,,other
model,Gemma3Model,,other
model.vision_tower,SiglipVisionModel,,other
model.vision_tower.vision_model,SiglipVisionTransformer,,other
model.vision_tower.vision_model.embeddings,SiglipVisionEmbeddings,,output_critical_preserve
model.vision_tower.vision_model.embeddings.patch_embedding,Conv2d,1152x3x14x14,output_critical_preserve
model.vision_tower.vision_model.embeddings.position_embedding,Embedding,4096x1152,output_critical_preserve
model.vision_tower.vision_model.encoder,SiglipEncoder,,other
model.vision_tower.vision_model.encoder.layers,ModuleList,,other
model.vision_tower.vision_model.encoder.layers.0,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.0.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.0.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.0.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.0.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.0.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.1.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.1.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.1.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.1.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.1.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.2.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.2.self_attn,SiglipAttention,,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.k_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.v_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.q_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.self_attn.out_proj,Linear,1152x1152,attention_preserve_candidate
model.vision_tower.vision_model.encoder.layers.2.layer_norm2,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.2.mlp,SiglipMLP,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.activation_fn,GELUTanh,,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.fc1,Linear,4304x1152,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.2.mlp.fc2,Linear,1152x4304,mlp_q4_candidate
model.vision_tower.vision_model.encoder.layers.3,SiglipEncoderLayer,,other
model.vision_tower.vision_model.encoder.layers.3.layer_norm1,LayerNorm,1152,output_critical_preserve
model.vision_tower.vision_model.encoder.layers.3.self_attn,SiglipAttention,,attention_preserve_candidate
