adduser	3.118ubuntu5
adwaita-icon-theme	41.0-1ubuntu1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.6.3-1ubuntu1.12
amd64-microcode	3.20191218.1ubuntu2.3
apparmor	3.0.4-2ubuntu2.4
apport	2.20.11-0ubuntu82.10
apport-symptoms	0.24
apt	2.4.13
apt-transport-https	2.4.14
apt-utils	2.4.13
at-spi2-core	2.44.0-3
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bash-completion	1:2.11-5ubuntu1
bc	1.07.1-3build1
bcache-tools	1.0.8-4ubuntu3
bind9-dnsutils	1:9.18.39-0ubuntu0.22.04.4
bind9-host	1:9.18.39-0ubuntu0.22.04.4
bind9-libs	1:9.18.39-0ubuntu0.22.04.4
binutils	2.38-4ubuntu2.12
binutils-common	2.38-4ubuntu2.12
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12
bolt	0.9.2-1
bsdextrautils	2.37.2-4ubuntu3.5
bsdutils	1:2.37.2-4ubuntu3.5
btrfs-progs	5.16.2-1
build-essential	12.9ubuntu3
busybox-initramfs	1:1.30.1-7ubuntu3.1
busybox-static	1:1.30.1-7ubuntu3.1
byobu	5.133-1
bzip2	1.0.8-5build1
ca-certificates	20240203~22.04.1
cloud-guest-utils	0.32-22-g45fe84a5-0ubuntu1
cloud-init	24.3.1-0ubuntu0~22.04.1
cloud-initramfs-copymods	0.47ubuntu1
cloud-initramfs-dyn-netconf	0.47ubuntu1
command-not-found	22.04.0
console-setup	1.205ubuntu3
console-setup-linux	1.205ubuntu3
coreutils	8.32-4.1ubuntu1.2
cpio	2.13+dfsg-7ubuntu0.1
cpp	4:11.2.0-1ubuntu1
cpp-11	11.4.0-1ubuntu1~22.04.3
cron	3.0pl1-137ubuntu3
cryptsetup	2:2.4.3-1ubuntu1.2
cryptsetup-bin	2:2.4.3-1ubuntu1.2
cryptsetup-initramfs	2:2.4.3-1ubuntu1.2
cups-bsd	2.4.1op1-1ubuntu4.20
cups-client	2.4.1op1-1ubuntu4.20
cups-common	2.4.1op1-1ubuntu4.20
curl	7.81.0-1ubuntu1.24
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
dbus-user-session	1.12.20-2ubuntu4.1
dconf-gsettings-backend	0.40.0-3ubuntu0.1
dconf-service	0.40.0-3ubuntu0.1
debconf	1.5.79ubuntu1
debconf-i18n	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.5
distro-info	1.1ubuntu0.2
distro-info-data	0.52ubuntu0.12
dmeventd	2:1.02.175-2.1ubuntu4
dmidecode	3.3-3ubuntu0.1
dmsetup	2:1.02.175-2.1ubuntu4
dosfstools	4.2-1build3
dpkg	1.21.1ubuntu2.6
dpkg-dev	1.21.1ubuntu2.6
dvisvgm	2.13.1-1
e2fsprogs	1.46.5-2ubuntu1.2
eatmydata	130-2build1
ed	1.18-1
eject	2.37.2-4ubuntu3.5
ethtool	1:5.16-1ubuntu0.1
fakeroot	1.28-1ubuntu1
fdisk	2.37.2-4ubuntu3.5
ffmpeg	7:4.4.2-0ubuntu0.22.04.1
file	1:5.41-3ubuntu0.1
finalrd	9build1
findutils	4.8.0-1ubuntu3
firmware-sof-signed	2.0-1ubuntu4.7
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-dejavu-core	2.37-2build1
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-lato	2.0-2.1
fonts-lmodern	2.004.5-6.1
fonts-noto-mono	20201225-1build1
fonts-texgyre	20180621-3.1
fonts-ubuntu-console	0.83-6ubuntu1
fonts-urw-base35	20200910-1
friendly-recovery	0.2.42
ftp	20210827-4build1
fuse3	3.10.5-1build1
fwupd	1.7.9-1~22.04.3
fwupd-signed	1.51.1~22.04.1+1.4-0ubuntu0.1
g++	4:11.2.0-1ubuntu1
g++-11	11.4.0-1ubuntu1~22.04.3
gawk	1:5.1.0-1ubuntu0.1
gcc	4:11.2.0-1ubuntu1
gcc-11	11.4.0-1ubuntu1~22.04.3
gcc-11-base	11.4.0-1ubuntu1~22.04.3
gcc-12-base	12.3.0-1ubuntu1~22.04.3
gdisk	1.0.8-4build1
gettext-base	0.21-4ubuntu4
ghostscript	9.55.0~dfsg1-0ubuntu5.13
ghostscript-x	9.55.0~dfsg1-0ubuntu5.13
gir1.2-glib-2.0	1.72.0-1
gir1.2-packagekitglib-1.0	1.2.5-2ubuntu3.1
git	1:2.34.1-1ubuntu1.17
git-lfs	3.0.2-1ubuntu0.3
git-man	1:2.34.1-1ubuntu1.17
gnupg	2.2.27-3ubuntu2.5
gnupg-l10n	2.2.27-3ubuntu2.5
gnupg-utils	2.2.27-3ubuntu2.5
gpg	2.2.27-3ubuntu2.5
gpg-agent	2.2.27-3ubuntu2.5
gpg-wks-client	2.2.27-3ubuntu2.5
gpg-wks-server	2.2.27-3ubuntu2.5
gpgconf	2.2.27-3ubuntu2.5
gpgsm	2.2.27-3ubuntu2.5
gpgv	2.2.27-3ubuntu2.5
grep	3.7-1build1
groff-base	1.22.4-8build1
grub-common	2.06-2ubuntu7.2
grub-gfxpayload-lists	0.7
grub-pc	2.06-2ubuntu7.2
grub-pc-bin	2.06-2ubuntu7.2
grub2-common	2.06-2ubuntu7.2
gsettings-desktop-schemas	42.0-1ubuntu1
gsfonts	1:8.11+urwcyr1.0.7~pre44-4.5
gsfonts-x11	0.28
gtk-update-icon-cache	3.24.33-1ubuntu2.2
gv	1:3.7.4-2
gzip	1.10-4ubuntu4.1
hdparm	9.60+ds-1build3
hicolor-icon-theme	0.17-2
hostname	3.23ubuntu2
htop	3.0.5-7build2
humanity-icon-theme	0.6.16
i965-va-driver	2.4.1+dfsg1-1
info	6.8-4build1
init	1.62
init-system-helpers	1.62
initramfs-tools	0.140ubuntu13.4
initramfs-tools-bin	0.140ubuntu13.4
initramfs-tools-core	0.140ubuntu13.4
install-info	6.8-4build1
intel-media-va-driver	22.3.1+dfsg1-1ubuntu2
intel-microcode	3.20260210.0ubuntu0.22.04.1
iproute2	5.15.0-1ubuntu2
iptables	1.8.7-1ubuntu5.2
iputils-ping	3:20211215-1ubuntu0.1
iputils-tracepath	3:20211215-1ubuntu0.1
irqbalance	1.8.0-1ubuntu0.2
isc-dhcp-client	4.4.1-2.3ubuntu2.4
isc-dhcp-common	4.4.1-2.3ubuntu2.4
iso-codes	4.9.0-1
iucode-tool	2.3.1-1build1
javascript-common	11+nmu1
jq	1.6-2.1ubuntu3.2
kbd	2.3.0-3ubuntu4.22.04
keyboard-configuration	1.205ubuntu3
klibc-utils	2.0.10-4ubuntu0.2
kmod	29-1ubuntu1.1
kpartx	0.8.8-1ubuntu1.22.04.4
landscape-common	23.02-0ubuntu1~22.04.3
latexmk	1:4.76-1
less	590-1ubuntu0.22.04.3
libaacs0	0.11.1-1
libacl1	2.3.1-1
libaio1	0.3.112-13build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-6build3
libalgorithm-merge-perl	0.08-3
libaom3	3.3.0-1ubuntu0.1
libapache-pom-java	18-1
libapparmor1	3.0.4-2ubuntu2.4
libappstream4	0.15.2-2
libapt-pkg6.0	2.4.13
libarchive13	3.6.0-1ubuntu1.7
libargon2-1	0~20171227-0.3
libasan6	11.4.0-1ubuntu1~22.04.3
libasound2	1.2.6.1-1ubuntu1.1
libasound2-data	1.2.6.1-1ubuntu1.1
libass9	1:0.15.2-1
libassuan0	2.5.5-1build1
libasyncns0	0.8-6build2
libatasmart4	0.19-5build2
libatk-bridge2.0-0	2.38.0-3
libatk1.0-0	2.36.0-3build1
libatk1.0-data	2.36.0-3build1
libatm1	1:2.5.1-4build2
libatomic1	12.3.0-1ubuntu1~22.04.3
libatspi2.0-0	2.44.0-3
libattr1	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1	1:3.0.7-1build1
libauthen-sasl-perl	2.1600-1.1
libavahi-client3	0.8-5ubuntu5.5
libavahi-common-data	0.8-5ubuntu5.5
libavahi-common3	0.8-5ubuntu5.5
libavc1394-0	0.5.4-5build2
libavcodec58	7:4.4.2-0ubuntu0.22.04.1
libavdevice58	7:4.4.2-0ubuntu0.22.04.1
libavfilter7	7:4.4.2-0ubuntu0.22.04.1
libavformat58	7:4.4.2-0ubuntu0.22.04.1
libavutil56	7:4.4.2-0ubuntu0.22.04.1
libbdplus0	0.2.0-1
libbinutils	2.38-4ubuntu2.12
libblas3	3.10.0-2ubuntu1
libblkid1	2.37.2-4ubuntu3.5
libblockdev-crypto2	2.26-1ubuntu0.1
libblockdev-fs2	2.26-1ubuntu0.1
libblockdev-loop2	2.26-1ubuntu0.1
libblockdev-part-err2	2.26-1ubuntu0.1
libblockdev-part2	2.26-1ubuntu0.1
libblockdev-swap2	2.26-1ubuntu0.1
libblockdev-utils2	2.26-1ubuntu0.1
libblockdev2	2.26-1ubuntu0.1
libbluray2	1:1.3.1-1
libbpf0	1:0.5.0-1ubuntu22.04.1
libbrotli1	1.0.9-2build6
libbs2b0	3.1.0+dfsg-2.2build1
libbsd0	0.11.5-1
libbz2-1.0	1.0.8-5build1
libc-bin	2.35-0ubuntu3.13
libc-dev-bin	2.35-0ubuntu3.13
libc-devtools	2.35-0ubuntu3.13
libc6	2.35-0ubuntu3.13
libc6-dev	2.35-0ubuntu3.13
libcaca0	0.99.beta19-2.2ubuntu4.2
libcairo-gobject2	1.16.0-5ubuntu2.1
libcairo2	1.16.0-5ubuntu2.1
libcap-ng0	0.7.9-2.2build3
libcap2	1:2.44-1ubuntu0.22.04.3
libcap2-bin	1:2.44-1ubuntu0.22.04.3
libcbor0.8	0.8.0-2ubuntu1
libcc1-0	12.3.0-1ubuntu1~22.04.3
libcdio-cdda2	10.2+2.0.0-1build3
libcdio-paranoia2	10.2+2.0.0-1build3
libcdio19	2.1.0-3ubuntu0.2
libchromaprint1	1.5.1-2
libclone-perl	0.45-1build3
libcodec2-1.0	1.0.1-3
libcolord2	1.4.6-1
libcom-err2	1.46.5-2ubuntu1.2
libcommons-logging-java	1.2-2
libcommons-parent-java	43-1
libcrypt-dev	1:4.4.27-1
libcrypt1	1:4.4.27-1
libcryptsetup12	2:2.4.3-1ubuntu1.2
libctf-nobfd0	2.38-4ubuntu2.12
libctf0	2.38-4ubuntu2.12
libcups2	2.4.1op1-1ubuntu4.20
libcurl3-gnutls	7.81.0-1ubuntu1.24
libcurl4	7.81.0-1ubuntu1.24
libdata-dump-perl	1.25-1
libdatrie1	0.2.13-2
libdav1d5	0.9.2-1
libdb5.3	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3	1.12.20-2ubuntu4.1
libdbus-glib-1-2	0.112-2build1
libdc1394-25	2.2.6-4
libdconf1	0.40.0-3ubuntu0.1
libdebconfclient0	0.261ubuntu1
libdecor-0-0	0.1.0-3build1
libdecor-0-plugin-1-cairo	0.1.0-3build1
libdeflate0	1.10-2
libdevmapper-event1.02.1	2:1.02.175-2.1ubuntu4
libdevmapper1.02.1	2:1.02.175-2.1ubuntu4
libdns-export1110	1:9.11.19+dfsg-2.1ubuntu3
libdpkg-perl	1.21.1ubuntu2.6
libdrm-amdgpu1	2.4.113-2~ubuntu0.22.04.1
libdrm-common	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1	2.4.113-2~ubuntu0.22.04.1
libdrm2	2.4.113-2~ubuntu0.22.04.1
libdw1	0.186-1ubuntu0.1
libeatmydata1	130-2build1
libedit2	3.1-20210910-1build1
libefiboot1	37-6ubuntu2
libefivar1	37-6ubuntu2
libelf1	0.186-1ubuntu0.1
libencode-locale-perl	1.05-1.1
libepoxy0	1.5.10-1
liberror-perl	0.17029-1
libestr0	0.1.10-2.1build3
libevdev2	1.12.1+dfsg-1
libevent-core-2.1-7	2.1.12-stable-1build3
libexpat1	2.4.7-1ubuntu0.7
libext2fs2	1.46.5-2ubuntu1.2
libfakeroot	1.28-1ubuntu1
libfastjson4	0.99.9-1build2
libfdisk1	2.37.2-4ubuntu3.5
libffi8	3.4.2-4
libfido2-1	1.10.0-1
libfile-basedir-perl	0.09-1
libfile-desktopentry-perl	0.22-2
libfile-fcntllock-perl	0.22-3build7
libfile-listing-perl	6.14-1
libfile-mimeinfo-perl	0.31-1
libflac8	1.3.3-2ubuntu0.2
libflite1	2.2-3
libfont-afm-perl	1.20-3
libfontbox-java	1:1.8.16-2
libfontconfig1	2.13.1-4.2ubuntu5
libfontenc1	1:1.1.4-1build3
libfreetype6	2.11.1+dfsg-1ubuntu0.3
libfribidi0	1.0.8-2ubuntu3.1
libfuse3-3	3.10.5-1build1
libfwupd2	1.7.9-1~22.04.3
libfwupdplugin5	1.7.9-1~22.04.3
libgbm1	23.2.1-1ubuntu3.1~22.04.3
libgcab-1.0-0	1.4-3build2
libgcc-11-dev	11.4.0-1ubuntu1~22.04.3
libgcc-s1	12.3.0-1ubuntu1~22.04.3
libgcrypt20	1.9.4-3ubuntu3.2
libgd3	2.3.0-2ubuntu2.3
libgdbm-compat4	1.23-1
libgdbm6	1.23-1
libgdk-pixbuf-2.0-0	2.42.8+dfsg-1ubuntu0.5
libgdk-pixbuf2.0-bin	2.42.8+dfsg-1ubuntu0.5
libgdk-pixbuf2.0-common	2.42.8+dfsg-1ubuntu0.5
libgfortran5	12.3.0-1ubuntu1~22.04.3
libgirepository-1.0-1	1.72.0-1
libgl1	1.4.0-1
libgl1-amber-dri	21.3.9-0ubuntu1~22.04.1
libgl1-mesa-dri	23.2.1-1ubuntu3.1~22.04.3
libglapi-mesa	23.2.1-1ubuntu3.1~22.04.3
libglib2.0-0	2.72.4-0ubuntu2.9
libglib2.0-bin	2.72.4-0ubuntu2.9
libglib2.0-data	2.72.4-0ubuntu2.9
libglvnd0	1.4.0-1
libglx-mesa0	23.2.1-1ubuntu3.1~22.04.3
libglx0	1.4.0-1
libgme0	0.6.3-2
libgmp10	2:6.2.1+dfsg-3ubuntu1
libgnutls30	3.7.3-4ubuntu1.9
libgomp1	12.3.0-1ubuntu1~22.04.3
libgpg-error0	1.43-3
libgpgme11	1.16.0-1.2ubuntu4.2
libgpm2	1.20.7-10build1
libgraphite2-3	1.3.14-1build2
libgs9	9.55.0~dfsg1-0ubuntu5.13
libgs9-common	9.55.0~dfsg1-0ubuntu5.13
libgsm1	1.0.19-1
libgssapi-krb5-2	1.19.2-2ubuntu0.7
libgstreamer1.0-0	1.20.3-0ubuntu1.1
libgtk-3-0	3.24.33-1ubuntu2.2
libgtk-3-bin	3.24.33-1ubuntu2.2
libgtk-3-common	3.24.33-1ubuntu2.2
libgtkd-3-0	3.10.0-1ubuntu1
libgudev-1.0-0	1:237-2build1
libgusb2	0.3.10-1
libharfbuzz0b	2.7.4-1ubuntu3.2
libhogweed6	3.7.3-1build2
libhtml-form-perl	6.07-1
libhtml-format-perl	2.12-1.1
libhtml-parser-perl	3.76-1build2
libhtml-tagset-perl	3.20-4
libhtml-tree-perl	5.07-2
libhttp-cookies-perl	6.10-1
libhttp-daemon-perl	6.13-1ubuntu0.2
libhttp-date-perl	6.05-1
libhttp-message-perl	6.36-1
libhttp-negotiate-perl	6.01-1
libice6	2:1.0.10-1build2
libicu70	70.1-2
libidn12	1.38-4ubuntu1
libidn2-0	2.3.2-2build1
libiec61883-0	1.2.0-4build3
libigdgmm12	22.1.2+ds1-1
libijs-0.35	0.35-15build2
libimobiledevice6	1.3.0-6build3
libinih1	53-1ubuntu3
libintl-perl	1.26-3build2
libintl-xs-perl	1.26-3build2
libio-html-perl	1.004-2
libio-socket-ssl-perl	2.074-2
libio-stringy-perl	2.111-3
libip4tc2	1.8.7-1ubuntu5.2
libip6tc2	1.8.7-1ubuntu5.2
libipc-system-simple-perl	1.30-1
libisc-export1105	1:9.11.19+dfsg-2.1ubuntu3
libisl23	0.24-2build1
libisns0	0.101-0ubuntu2
libitm1	12.3.0-1ubuntu1~22.04.3
libjack-jackd2-0	1.9.20~dfsg-1
libjansson4	2.13.1-1.1build3
libjbig0	2.1-3.1ubuntu0.22.04.1
